Customer No.	Exposure at Default (in lakh Rs.)	 Recovery (%) 	Probability of Default
1	11.5	 0.20 	0.007
2	0.24	 0.05 	0.0033
3	0.04	 0.25 	0.0022
4	13.81	 0.02 	0.0066
5	19.84	 0.03 	0.002
6	20.61	 0.21 	0.0002
7	24.9	 0.35 	0.0089
8	18.76	 0.36 	0.0059
9	10.23	 0.40 	0.0026
10	19.55	 0.25 	0.0008
11	1.14	 0.33 	0
12	6.4	 0.37 	0.0034
13	21.45	 0.37 	0.0072
14	8.17	 0.13 	0.005
15	15.73	 0.15 	0.0056
16	8.73	 0.37 	0.0059
17	24.02	 0.40 	0.0029
18	11.92	 0.27 	0.0064
19	15.78	 0.17 	0.0041
20	0.04	 0.10 	0.0043
21	24.73	 0.16 	0.0046
22	7.49	 0.17 	0.0004
23	20.15	 0.09 	0.0041
24	2.92	 0.26 	0.0041
25	0.3	 0.32 	0.0039
26	1.95	 0.13 	0.0016
27	10.57	 0.29 	0.0063
28	19.41	 0.31 	0.0099
29	16.09	 0.23 	0.0022
30	5.65	 0.32 	0.0067
31	1.13	 0.09 	0.0068
32	17.07	 0.28 	0.0089
33	2.93	 0.03 	0.0041
34	21.87	 0.31 	0.0045
35	18.92	 0.31 	0.0007
36	22.8	 0.23 	0.0048
37	10.8	 0.20 	0.0042
38	24.74	 0.13 	0.0037
39	6.76	 0.16 	0.0074
40	6.51	 0.16 	0.0004
41	24.33	 0.34 	0.0036
42	21.01	 0.20 	0.0078
43	13.57	 0.17 	0.0079
44	8.97	 0.38 	0.0023
45	3.15	 0.17 	0.003
46	13.56	 0.22 	0.0053
47	10.71	 0.22 	0.0094
48	22.29	 0.35 	0.0053
49	4.64	 0.33 	0.0034
50	17.47	 0.05 	0.0011
51	2.72	 0.33 	0.0049
52	16.88	 0.26 	0.0068
53	14.49	 0.15 	0.0026
54	24.87	 0.25 	0.0092
55	0.07	 0.39 	0.0053
56	10.16	 0.01 	0.0096
57	21.21	 0.16 	0.0082
58	18.04	 0.31 	0.0095
59	2.16	 0.26 	0.0046
60	2.16	 0.14 	0.0065
61	8.76	 0.30 	0.0093
62	14.57	 0.29 	0.005
63	14.9	 0.10 	0.0076
64	4.56	 0.38 	0.0075
65	2.28	 0.22 	0.0004
66	13.69	 0.27 	0.0061
67	20.74	 0.06 	0.0061
68	7.14	 0.15 	0.0032
69	22.9	 0.27 	0.0071
70	20.82	 0.02 	0.005
71	14.48	 0.15 	0.0015
72	6.49	 0.38 	0.0082
73	9.03	 0.37 	0.0088
74	4.75	 0.00 	0.01
75	4.02	 0.33 	0.008
76	23.17	 0.35 	0.0048
77	17.36	 0.21 	0.0021
78	6.49	 0.12 	0.0075
79	12.87	 0.02 	0.0047
80	1.79	 0.23 	0.0091
81	16.23	 0.17 	0.0074
82	15.42	 0.22 	0.0097
83	22.33	 0.31 	0.0079
84	16.54	 0.35 	0.0007
85	1.32	 0.01 	0.0033
86	1.45	 0.37 	0.0066
87	4.14	 0.02 	0.0019
88	13.79	 0.28 	0.0017
89	19.6	 0.16 	0.0036
90	3.09	 0.08 	0.0076
91	24.3	 0.21 	0.0077
92	6.11	 0.34 	0.0043
93	3.7	 0.34 	0.0072
94	6.22	 0.34 	0.0095
95	13.63	 0.08 	0.0074
96	12.63	 0.31 	0.0051
97	3.25	 0.16 	0.0029
98	21.77	 0.23 	0.0021
99	20.72	 0.20 	0.0091
100	15.85	 0.36 	0.0025
101	10.62	 0.29 	0.0006
102	23.62	 0.14 	0.0035
103	15.18	 0.09 	0.0025
104	3.17	 0.23 	0.0097
105	18.99	 0.29 	0.0067
106	3.72	 0.17 	0.0087
